Age,TIC ,δ18O,δ13C,Aragonite,Calcite,Dolomite,Calcite
41029,8.44,25.40,2.72,,,,
41075,7.06,24.95,1.64,,,,
41122,8.85,25.45,3.03,,,,
41164,8.41,24.96,2.45,,,,
41209,8.43,25.21,2.36,,,,
41252,8.28,24.84,2.50,,,,
41298,8.56,25.12,2.71,,,,
41341,8.14,25.35,2.63,,,,
41383,7.99,24.64,1.94,,,,
41424,7.78,24.95,2.10,,,,
41471,7.83,25.19,2.07,,,,
41510,8.20,25.08,2.81,,,,
41548,9.07,26.14,3.36,,,,
41588,8.54,25.50,2.66,0.71,0.19,0.11,29.47
41634,9.25,25.93,2.08,,,,
41677,9.33,26.18,1.94,,,,
41712,8.27,26.30,2.46,,,,
41749,9.47,25.97,2.77,,,,
41783,9.51,26.23,3.23,,,,
41824,9.41,25.37,3.01,,,,
41864,8.81,25.68,2.97,,,,
41899,8.81,25.78,2.89,,,,
41942,9.17,25.95,3.61,,,,
41969,8.80,25.97,3.48,,,,
41993,2.75,25.05,0.09,,,,
42025,5.71,23.81,0.67,,,,
42053,8.58,24.95,2.21,,,,
42091,8.26,24.90,2.01,,,,
42128,8.74,25.47,2.28,,,,
42166,8.79,25.00,2.34,,,,
42206,9.04,26.03,2.93,,,,
42243,4.31,24.32,2.07,,,,
42280,9.17,25.60,2.61,,,,
42315,9.03,25.77,2.72,,,,
42347,9.01,26.12,2.72,0.82,0.10,0.08,29.47
42382,5.63,25.28,2.26,,,,
42420,8.62,24.56,1.97,,,,
42460,8.38,25.38,2.10,,,,
42495,7.99,24.62,1.71,,,,
42529,8.00,25.33,2.12,,,,
42569,7.56,25.15,2.08,,,,
42609,9.62,25.25,2.83,,,,
42650,9.38,25.50,3.06,,,,
42687,9.17,25.70,3.00,,,,
42726,9.62,25.94,3.19,,,,
42761,9.55,25.45,3.15,,,,
42801,9.52,25.71,3.27,,,,
42841,9.23,25.58,3.15,,,,
42876,8.84,25.21,3.08,,,,
42913,8.98,26.21,3.37,,,,
42955,9.43,25.93,3.41,,,,
42994,9.34,24.48,2.81,,,,
43032,9.21,25.16,3.10,,,,
43071,9.01,25.66,3.22,,,,
43109,9.05,25.32,3.27,0.87,0.10,0.04,29.47
43149,8.88,25.41,3.18,,,,
43190,9.10,26.05,3.65,,,,
43226,9.14,25.80,3.32,,,,
43263,8.90,25.57,3.16,,,,
43302,8.60,25.55,3.17,,,,
43336,8.81,25.10,3.11,,,,
43373,8.77,25.27,3.25,,,,
43411,8.85,25.74,3.18,,,,
43451,8.90,25.73,3.28,,,,
43489,9.11,26.03,3.57,,,,
43523,9.25,25.89,3.57,,,,
43559,9.39,25.72,3.73,,,,
43597,9.17,25.90,3.71,,,,
43635,8.93,24.82,3.11,,,,
43672,8.40,24.90,2.77,,,,
43708,8.11,24.77,2.57,,,,
43747,8.54,25.31,2.87,,,,
43786,8.56,25.12,2.81,,,,
43824,8.07,24.54,2.38,,,,
43862,7.52,24.22,1.99,0.71,0.22,0.07,29.45
43898,8.59,24.69,2.59,,,,
43934,8.30,24.70,2.35,,,,
43969,8.36,24.77,2.34,,,,
44005,7.74,25.07,2.40,,,,
44037,8.23,25.03,2.29,,,,
44080,8.97,25.51,2.70,,,,
44120,7.31,24.37,1.57,,,,
44155,7.31,24.51,1.57,,,,
44193,7.94,24.57,2.08,,,,
44237,8.03,24.41,1.99,,,,
44289,8.93,25.34,2.92,,,,
44340,8.91,25.83,3.11,,,,
44394,8.82,24.60,2.56,,,,
44438,8.88,24.20,2.42,,,,
44487,9.28,24.22,2.51,,,,
44539,9.39,24.07,2.77,,,,
44586,9.56,23.85,2.45,,,,
44637,9.50,22.80,1.94,,,,
44686,9.58,23.57,2.00,,,,
44735,9.02,23.85,2.39,0.73,0.19,0.09,29.57
44786,9.00,24.33,2.74,,,,
44837,9.36,23.81,2.44,,,,
44886,9.56,22.94,1.98,,,,
44942,9.38,24.47,2.91,,,,
44993,9.34,23.68,2.23,,,,
45050,9.35,22.34,1.60,,,,
45098,9.49,23.97,2.42,,,,
45148,9.36,24.11,2.69,,,,
45202,9.12,24.81,3.22,,,,
45254,9.17,24.98,3.22,,,,
45309,9.59,24.59,2.90,,,,
45360,8.79,24.67,2.90,,,,
45411,9.29,24.48,2.71,,,,
45465,9.12,24.38,2.68,,,,
45509,9.37,24.25,2.75,,,,
45562,9.09,24.17,2.87,,,,
45618,9.16,23.39,2.40,,,,
45664,9.44,23.58,2.42,,,,
45713,9.27,24.35,2.88,,,,
45768,9.24,23.75,2.63,0.76,0.18,0.06,29.59
45820,9.33,24.06,2.78,,,,
45873,9.05,24.20,2.92,,,,
