Age,d (0.1),d (0.5),d (0.9),Result 0.02µm-3.89µm,Result 3.90µm-7.79µm,Result 7.80µm-15.59µm,Result 15.60µm-30.99µm,Result 31.00µm-62.49µm,Result 62.50µm-124.99µm,Result 125.00µm-249.99µm,Result 250.00µm-499.99µm,Result 500.00µm-1000.00µm,Result 1000.01µm-2000.00µm,Mode,Clay,Silt,Sand
564.04,2.02,10.64,43.12,21.85,18.11,22.98,20.36,11.63,4.35,0.42,0.15,0.03,0,13.6,21.85,73.08,4.95
574.39,1.8,9.08,36.65,25.56,19.58,22.31,19.08,10.29,2.9,0.16,0,0,0,12.35,25.56,71.25,3.06
584.74,2.18,12.36,43.46,19.56,16.25,22.17,23.46,14.19,3.98,0.26,0,0,0,17.91,19.56,76.07,4.25
595.09,1.96,10.8,38.47,22.03,17.68,22.92,22.22,11.97,2.93,0.13,0,0,0,15.87,22.03,74.79,3.06
605.44,2.08,10.89,38.97,21.77,17.9,22.35,22.39,12.35,2.96,0.14,0,0,0,16.89,21.77,75,3.1
615.79,2.37,8.94,28.21,19.98,24.02,29.32,18.16,6.62,1.68,0.07,0,0,0,9.92,19.98,78.11,1.76
626.14,1.68,7.09,27.06,29.21,24.2,23.53,15.13,6.34,1.38,0.06,0,0,0,7.46,29.21,69.2,1.44
636.49,1.84,8.82,33.07,25.13,20.72,23.16,19.5,9.43,1.87,0.05,0,0,0,11.59,25.13,72.81,1.92
646.84,2.05,10.83,39.3,21.98,18.1,21.64,22.22,13.14,2.74,0.05,0,0,0,18.17,21.98,75.1,2.8
657.19,1.66,8.06,34.02,28.28,20.6,21.14,17.96,9.86,2.01,0.01,0,0,0,8.57,28.28,69.56,2.02
667.55,1.55,6.62,27.96,32.41,23.03,21.56,14.47,6.54,1.77,0.07,0,0,0,6.64,32.41,65.6,1.84
677.9,1.7,6.96,26.74,30.23,23.64,22.68,15.93,6.39,0.98,0,0,0,0,6.89,30.23,68.64,0.98
688.25,1.57,7.6,26.97,29.46,21.31,23.44,18.55,6.76,0.35,0,0,0,0,11.26,29.46,70.05,0.35
698.6,1.85,8.42,30.85,25.55,21.71,23.73,18.97,8.62,1.27,0,0,0,0,10.07,25.55,73.03,1.27
708.95,2.15,9.36,34.7,21.86,21.39,25.34,19.16,9.24,2.77,0.1,0,0,0,10.77,21.86,75.13,2.87
719.3,2.05,9.87,35.22,21.93,19.92,24.33,20.91,10.26,2.25,0.24,0.02,0,0,12.63,21.93,75.42,2.51
729.65,1.74,6.02,19.83,32.19,28.66,23.79,10.98,3.28,0.88,0.06,0,0,0,6.22,32.19,66.7,0.93
