Age,Deuterium2007,TempAnomaly
366773.98,-435.2,-7.80
366455.74,-433.1,-7.46
366146.95,-433.6,-7.55
365836.43,-433.7,-7.58
365525.91,-431.55,-7.23
365223.98,-432.3,-7.36
364919.42,-437.3,-8.19
364592.14,-436.94,-8.14
364263.63,-432.7,-7.46
363958.06,-431.1,-7.20
363660.28,-433.2,-7.55
363354.43,-430.5,-7.11
363060.18,-424.2,-6.07
362765.55,-430.2,-7.07
362473.32,-437.4,-8.26
362150.00,-433.4,-7.61
361835.01,-432.1,-7.40
361534.05,-435.1,-7.89
361222.68,-438.1,-8.39
360892.09,-433.8,-7.69
360584.62,-440.1,-8.74
360248.46,-434.6,-7.84
359930.86,-439.2,-8.60
359598.98,-434.5,-7.84
359281.23,-439.7,-8.70
358947.26,-438.6,-8.52
358613.93,-437.9,-8.41
358282.19,-440.2,-8.80
357935.16,-441.3,-8.99
357597.56,-441,-8.94
357258.57,-439.5,-8.70
356927.03,-439.9,-8.78
356594.15,-438.6,-8.57
356268.10,-438.3,-8.52
355943.80,-440.4,-8.87
355609.39,-440.4,-8.87
355274.13,-441.2,-9.00
354934.84,-439.9,-8.79
354600.07,-438.6,-8.58
354271.59,-436,-8.15
353957.73,-432.3,-7.55
353669.96,-434.7,-7.94
353378.64,-431.4,-7.40
353090.35,-432.6,-7.59
352794.19,-432.8,-7.63
352493.81,-434.9,-7.97
352195.39,-434.2,-7.86
351895.45,-433.3,-7.72
351599.52,-434.2,-7.87
351299.86,-434.3,-7.89
350999.87,-433.9,-7.83
350702.06,-432.5,-7.61
350409.96,-435.5,-8.10
350106.28,-431,-7.36
349821.44,-430.5,-7.28
349539.65,-430,-7.20
349259.75,-433.2,-7.73
348968.59,-425.9,-6.52
348707.01,-434.9,-8.00
348407.58,-438.6,-8.61
348090.14,-439.4,-8.74
347768.99,-435.7,-8.14
347465.98,-431.4,-7.44
347180.75,-437.8,-8.49
346868.22,-437.6,-8.46
346556.55,-434.8,-8.01
346256.51,-440.1,-8.88
345933.51,-437.3,-8.43
345623.31,-436.4,-8.29
345317.06,-438.8,-8.69
345000.57,-437.8,-8.53
344688.40,-439.6,-8.84
344367.50,-439.62,-8.85
344041.30,-438.2,-8.62
