Age,Depth,G. bulloides δ18O,G. bulloides δ13C,N. pachyderma s,Qz,Carb detr,Volcanic,Foram,IRD,Terr mine,SST sum,Foram plankt arctic,Foram plankt subpolar,Foram plankt subtropical,Foram plankt subtropica,Foram plankt tropical
24857.000,5.48,2.48,-0.65,9.44,1.20,0.00,0.00,90.84,1.20,5000,16.2,14.29,54.08,31.63,0.00,0.00
24940.000,5.51,2.72,-0.76,11.32,0.73,0.00,0.15,91.51,0.88,6170,15.3,14.42,56.11,29.47,0.00,0.00
25022.000,5.54,2.70,-0.77,13.36,0.91,0.00,0.00,89.33,0.91,12500,16.1,17.91,48.71,32.66,0.72,0.00
25104.000,5.57,2.64,-0.41,10.57,1.47,0.00,0.00,84.71,1.47,10400,13.1,13.41,49.11,36.51,0.97,0.00
25187.000,5.60,2.62,-0.80,10.36,1.41,0.00,0.00,80.68,1.41,10909,16.4,11.45,48.18,39.82,0.55,0.00
25269.000,5.63,2.68,-0.64,7.57,0.88,0.00,0.00,93.64,0.88,5000,10.7,8.64,53.13,37.87,0.37,0.00
25351.000,5.66,2.97,-0.61,11.25,2.14,0.00,0.00,92.34,2.14,6579,10.6,3.67,53.21,42.20,0.92,0.00
25434.000,5.69,2.88,-0.46,22.06,0.72,0.00,0.00,94.76,0.72,4400,9.9,5.04,51.55,42.83,0.58,0.00
25516.000,5.72,2.86,-0.47,23.42,0.74,0.00,0.21,91.81,0.95,7800,9.9,1.51,57.54,40.73,0.22,0.00
25608.000,5.75,3.09,-0.57,28.67,0.15,0.00,0.15,94.28,0.30,3800,9.1,2.62,52.81,44.01,0.56,0.00
25700.000,5.78,3.30,-0.37,26.37,0.67,0.00,0.00,95.74,0.67,2540,9.0,2.19,53.73,43.64,0.44,0.00
25748.000,5.81,3.09,-0.49,14.29,1.22,0.00,0.00,90.20,1.22,7742,10.3,3.69,54.61,41.71,0.00,0.00
25796.000,5.84,2.85,-0.78,14.42,0.51,0.00,0.00,92.84,0.51,2800,9.9,2.74,49.77,47.49,0.00,0.00
25844.000,5.87,2.97,-0.70,17.91,0.64,0.00,0.00,97.20,0.64,2200,9.8,2.71,49.90,47.00,0.39,0.00
25892.000,5.90,2.85,-0.83,13.41,0.81,0.00,0.00,90.53,0.81,7000,9.9,3.58,54.95,41.47,0.00,0.00
25940.000,5.93,2.60,-0.62,11.45,0.00,0.00,0.00,95.69,0.00,2800,10.3,3.02,58.35,38.23,0.40,0.00
25988.000,5.96,2.80,-0.20,8.64,0.14,0.00,0.00,87.02,0.14,8393,11.1,4.18,49.12,46.56,0.13,0.00
26036.000,5.99,2.66,-0.59,3.67,0.00,0.00,0.00,87.63,0.00,1036,13.9,4.70,51.54,43.36,0.40,0.00
26084.000,6.02,2.56,-0.64,5.04,0.14,0.00,0.00,86.40,0.14,5000,10.9,5.98,48.01,45.42,0.60,0.00
26132.000,6.05,2.76,-0.85,1.51,0.18,0.00,0.00,94.98,0.18,3684,12.6,8.36,45.62,45.89,0.14,0.00
26180.000,6.08,2.45,-0.80,2.62,0.30,0.00,0.00,93.67,0.30,4468,14.3,8.77,50.58,40.06,0.58,0.00
26397.000,6.11,2.67,-0.62,2.19,0.00,0.00,0.00,94.94,0.00,3684,11.3,4.96,48.40,46.65,0.00,0.00
26686.000,6.15,2.55,-0.80,3.69,0.00,0.00,0.00,95.39,0.00,3529,16.5,14.04,47.37,38.60,0.00,0.00
26831.000,6.17,2.57,-0.61,2.74,0.38,0.00,0.00,92.83,0.38,2533,16.4,35.66,40.09,23.78,0.47,0.00
27048.000,6.20,2.55,-0.62,2.71,0.30,0.00,0.00,90.94,0.30,5660,14.0,36.50,48.18,15.33,0.00,0.00
27265.000,6.23,2.41,-0.77,3.58,0.99,0.00,0.00,87.42,0.99,12258,13.0,28.37,50.52,21.11,0.00,0.00
27482.000,6.26,2.66,-0.39,3.02,0.00,0.00,0.00,93.57,0.00,4043,13.0,23.53,55.88,20.05,0.53,0.00
27698.000,6.29,2.54,-0.66,4.18,1.10,0.00,0.00,89.92,1.10,8679,,18.69,55.24,25.46,0.62,0.00
27915.000,6.32,2.56,-0.32,4.70,0.65,0.00,0.00,88.11,0.65,9821,16.9,21.85,48.89,28.89,0.37,0.00
28132.000,6.35,2.62,-0.36,5.98,0.33,0.00,0.00,89.46,0.33,8421,15.9,22.49,55.36,20.74,1.38,0.00
28349.000,6.38,2.47,-0.19,8.36,0.57,0.00,0.00,92.28,0.57,6071,10.9,23.82,52.83,22.64,0.71,0.00
28566.000,6.41,2.29,-0.35,8.77,0.51,0.00,0.00,90.89,0.51,5806,16.1,23.98,55.64,20.14,0.24,0.00
28783.000,6.44,,,4.96,0.48,0.00,0.00,93.72,0.48,4194,16.8,20.89,58.22,20.62,0.27,0.00
29000.000,6.47,2.09,-0.62,14.04,1.55,0.00,0.00,86.90,1.55,9268,15.7,22.73,52.27,24.35,0.65,0.00
29045.000,6.50,2.26,-0.63,35.66,5.25,0.00,0.00,78.00,5.25,21613,9.3,34.31,45.00,20.34,0.34,0.00
